x,y,z
-0.028874336242675783,-0.05869104385375977,-0.055130653381347657
-0.028868146896362305,-0.05868919372558594,-0.0551431770324707
-0.02898024368286133,-0.05869663238525391,-0.05520140838623047
-0.02802408790588379,-0.05883782958984375,-0.05498515319824219
-0.027917650222778322,-0.05888190460205078,-0.05501519012451172
-0.02792133331298828,-0.05887826538085938,-0.05502829360961914
-0.02802408790588379,-0.05883782958984375,-0.05498515319824219
-0.02792133331298828,-0.05887826538085938,-0.05502829360961914
-0.028025030136108398,-0.058833641052246095,-0.054998577117919924
-0.02843110275268555,-0.059459075927734376,-0.05648102569580078
-0.02853481674194336,-0.059416511535644534,-0.056506195068359376
-0.028534791946411134,-0.05941048812866211,-0.05649345397949219
-0.02843110275268555,-0.059459075927734376,-0.05648102569580078
-0.028534791946411134,-0.05941048812866211,-0.05649345397949219
-0.028432451248168945,-0.05945302200317383,-0.05646837234497071
-0.028630910873413087,-0.05871465682983398,-0.05503743362426758
-0.02850849151611328,-0.05874248504638672,-0.05500717163085938
-0.028505016326904296,-0.058738315582275394,-0.05502017974853516
-0.028630910873413087,-0.05871465682983398,-0.05503743362426758
-0.028505016326904296,-0.058738315582275394,-0.05502017974853516
-0.02862623977661133,-0.05871077346801758,-0.05505014801025391
